kanji,hiragana,korean
愛着,あいちゃく,애착
跡継,あとつぎ,후계자
育成,いくせい,육성
異色,いしょく,이색
一任,いちにん,일임
一環,いっかん,일환
逸材,いつざい,"뛰어난 인재, 일재"
逸脱,いつだつ,"벗어남, 일탈"
意欲,いよく,의욕
印鑑,いんかん,인감
腕前,うでまえ,솜씨
大筋,おおすじ,"요지, 대략"
解除,かいじょ,해제
会心,かいしん,"회심, 마음에 듦"
改訂版,かいていばん,개정판
稼働,かどう,가동
完結,かんけつ,완결
気掛かり,きがかり,"걱정, 마음에 걸림"
基盤,きばん,기반
起伏,きふく,기복
給食,きゅうしょく,급식
寄与,きよ,기여
起用,きよう,기용
教訓,きょうくん,교훈
強制,きょうせい,강제
行政,ぎょうせい,행정
禁物,きんもつ,금물
経費,けいひ,경비
経歴,けいれき,경력
結束,けっそく,결속
言及,げんきゅう,언급
合意,ごうい,합의
再建,さいけん,재건
在庫,ざいこ,재고
財政,ざいせい,재정
差額,さがく,차액
残高,ざんだか,잔고
支持,しじ,지지
支障,ししょう,지장
実情,じつじょう,실정
遮断,しゃだん,차단
従事,じゅうじ,종사
修復,しゅうふく,"수복, 복원"
推移,すいい,추이
態勢,たいせい,태세
妥協,だきょう,타협
打診,だしん,"제안, 타진"
抽選,ちゅうせん,추첨
沈默,ちんもく,침묵
強み,つよみ,강점
手順,てじゅん,수순
撤去,てっきょ,철거
投入,とうにゅう,투입
荷,に,짐
念願,ねんがん,염원
念頭,ねんとう,염두
背景,はいけい,배경
抜粋,ばっすい,발췌
非,ひ,잘못
人出,ひとで,인파
表明,ひょうめい,표명
不備,ふび,"미비, 불비"
並行,へいこう,병행
防火,ぼうか,방화
本音,ほんね,본심
味覚,みかく,미각
滅亡,めつぼう,멸망
面会,めんかい,면회
予断,よだん,"예측, 예단"
流出,りゅうしゅつ,유출
危ぶむ,あやぶむ,걱정하다
誤る,あやまる,잘못하다
荒らす,あらす,"황폐하게 하다"
言い張る,いいはる,우겨대다
傷める,いためる,"다치다, 상하다"
一掃する,いっそうする,일소하다
営む,いとなむ,"경영하다, 영위하다"
受け継ぐ,うけつぐ,게승하다
受け止める,うけとめる,"받아들이다, 받아내다"
埋まる,うまる,묻히다
追い込む,おいこむ,몰아넣다
及ぼす,およぼす,미치다
該当する,がいとうする,해당하다
書き取る,かきとる,받아쓰다
駆けつける,かけつける,달려가다
可決する,かけつする,가결하다
加工する,かこうする,가공하다
究明する,きゅうめいする,구명하다
切り出す,きりだす,"(말을) 꺼내다"
食い止める,くいとめる,막다
駆使する,くしする,구사하다
捧げる,ささげる,바치다
悟る,さとる,깨닫다
障る,さわる,거슬리다
沈める,しずめる,가라앉히다
染みる,しみる,스미다
染まる,そまる,물들다
絶える,たえる,끊기다
たたえる,たたえる,칭송하다
立ち寄る,たちよる,들르다
脱する,だつする,벗어나다
立て替える,たてかえる,"대신 지불하다"
たどる,たどる,"(줄거리를) 더듬다"
ためらう,ためらう,망설이다
直面する,ちょくめんする,직면하다
尽くす,つくす,다하다
遠ざかる,とおざかる,멀어지다
とぎれる,とぎれる,끊어지다
整える,ととのえる,가다듬다
取り組む,とりくむ,맞붙다
取り調べる,とりしらべる,취조하다
取り除く,とりのぞく,제거하다
取り戻す,とりもどす,되찾다
なだめる,なだめる,달래다
にじむ,にじむ,번지다
担う,になう,짊어지다
練る,ねる,다듬다
飲み込む,のみこむ,삼키다
化ける,ばける,둔갑하다
弾く,はじく,튕기다
弾む,はずむ,"들뜨다, 튀다"
フォローする,ふぉろーする,보조하다
振り返る,ふりかえる,되돌아보다
報じる,ほうじる,보도하다
任す,まかす,맡기다
紛れる,まぎれる,뒤섞이다
見かける,みかける,우연히 보다
満たす,みたす,채우다
乱れる,みだれる,흐트러지다
見逃す,みのがす,놓치다
面する,めんする,면하다
申し出る,もうしでる,자청하다
催す,もよおす,개최하다
和らぐ,やわらぐ,완화되다
揺らぐ,ゆらぐ,흔들리다
要する,ようする,요하다
避ける,よける,피하다
読み上げる,よみあげる,낭독하다
蘇る,よみがえる,되살아나다
寄り掛かる,よりかかる,기대다
